name,address,telephone,email,productsServices
BHAGYALAXMI TRADING COMPANY,"DHANVATE ASHRAM,SHANI MANDIR ROAD, SITABUILDI,  NAGPUR,  MAHARASHTRA 440012",9850418089,govind3@rediffmail.com,3 MULTIBRAND STORE
BHANDARI DAS MODI &amp; COMPANY,"K.E.M.ROAD,  BIKANER,  RAJASTHAN 334001",9251452013,#N/A,3 MULTIBRAND STORE
BHANGA-GARA,"AKHAN BAZAR,CHINSURAH,HOOGHLY,  CHINSURAH,  WEST BENGAL 712101",9831626281,amalghosh45@gmail.com,3 MULTIBRAND STORE
BHARAT CYCLE AGENCY&#44;,"Near Ram Janki Mandir,Bhurar,  Shahdol,  MADHYA PRADESH 484110",9407353300,MBO,3 MULTIBRAND STORE
BHARAT CYCLE CO,"182-A PRINCESS STREET,  MUMBAI,  MAHARASHTRA 400002",9820077428,Bharatcycle1926@gmail.com,3 MULTIBRAND STORE
BHARAT CYCLE CO (JAMSHEDPUR),"MAIN ROAD,BISTURPUR,  JAMSHEDPUR,  JHARKHAND 831001",9431381759,bharatcyclecompany@gmail.com,3 MULTIBRAND STORE
BHARAT CYCLE STORE (DHERI ON SON),"PALI ROAD,DEHRI-ON-SONE,  DEHRI-ON-SONE CYW,  BIHAR 821307",#N/A,#N/A,3 MULTIBRAND STORE
BHARAT CYCLE STORE (GUNA),"JAI STAMBH CHOURAHA,A B ROAD,  GUNA,  MADHYA PRADESH 473001",7389195780,#N/A,3 MULTIBRAND STORE
BHARAT CYCLE STORES,"NEAR LAXMI MARKET,MIRAJ,SANGLI DIST.,  MIRAJ,  MAHARASHTRA ",0233-2222006,bharat.cycle.stores.miraj@gmail.com,3 MULTIBRAND STORE
BHARAT CYCLE STORES (BARHARWA),"MAIN ROAD,DIST SAHIBGANG,  BARHARWA,  JHARKHAND 816101",9431396442,dokaniavivek2009@yahoo.com,3 MULTIBRAND STORE
BHARAT CYCLE TRADING COMPANY,"445/51 KALBADEVI ROAD,1STFLRAB MADRAS BHAWAN,  MUMBAI,  MAHARASHTRA 400002",#N/A,#N/A,3 MULTIBRAND STORE
BHARAT CYCLE WORKS,"DAVI ROAD,  KOTDWAR,  UTTRANCHAL 246149",9837322008,harishnarang@gmail.com,3 MULTIBRAND STORE
BHARAT TYRES,"4-3- 537,538/A, SRI KRISHNA ASHRAY,HANUMAN TEKDI, ABIDS,  HYDERABAD,  ANDHRA PRADESH 500095",9848038372,#N/A,3 MULTIBRAND STORE
BHARATH CYCLE AGENCIES,"6/42, TADAPATRI,ANANTHAPUR,  ANANTHAPUR,  ANDHRA PRADESH 515411",#N/A,#N/A,3 MULTIBRAND STORE
BHASIN SALES,"SHOP NO.  7 - 8,PREMCHAND MARKET,BHITRA ROAD,  PALIA KALAN,  UTTAR PRADESH 262902",9452164734,sonu.bhasin05@gmail.com,3 MULTIBRAND STORE
BHATIA CYCLE STORE,"INSIDE DELHI GATE,BUS STAND ROAD,NAYA BAZAR,  NAGAUR,  RAJASTHAN 341001",9413929292,imranbhatiya@gmail.com,3 MULTIBRAND STORE
BHAVARLAL PUKHRAJ &amp; SONS(ROHA),"AT + PO + TAL,ROHA DIST. RAIGAD,BAZAR PETH,  ROHA,  MAHARASHTRA 402109",9850962325,sandip_roha@yahoo.com,3 MULTIBRAND STORE
BHAVSAR CYCLE STORES,"BHIWAN CHOWK,  BARAMATI,  MAHARASHTRA ",9850635552,bhavsarcyclesbaramati@gmail.com,3 MULTIBRAND STORE
BHEE THRIFT &amp; CREDIT COOPERATIVE SOCIETY LIMITED,"BACHAT BHAWAN,PIPLANI BHEL,  BHOPAL,  MADHYA PRADESH 462021",#N/A,#N/A,3 MULTIBRAND STORE
BHUBANESWAR CYCLE SUPPLY,"RAJ MAHAL SQUARE,ASHOKI NAGAR,  BHUBANESWAR,  ODHISA 751009",9437033935,bbsrcycle@gmail.com,3 MULTIBRAND STORE
BHURA CYCLE STORES,"MACHLI BAZAAR,  NAJIBABAD,  UTTAR PRADESH 246732",9837980696,#N/A,3 MULTIBRAND STORE
BICYCLE HUB,"11/25, CORPORATION COLONY,KODAMBAKKAM,  CHENNAI,  TAMILNADU 600024",044 42132877,bsa.bicyclehub@yahoo.com,1 TRACK AND TRAIL
BICYCLE HUB (SAIDAPET),"385 & 386,ANNA SALAI ROAD,SAIDAPET,  CHENNAI,  TAMILNADU 600025",#N/A,bicylehub@yahoo.com,3 MULTIBRAND STORE
BIHAR CYCLE STORES&#44;,"DOCTOR B.B. GHOSE LANE,DAINIK JAGRAN GALI,  MUZAFFARPUR,  BIHAR 842001",#N/A,rajsanjaygupta78@gmail.com,3 MULTIBRAND STORE
BIHAR TRADING CO,"MAHABIR CHOWK,  CHAS,  JHARKHAND 827013",9431127975,bihartrading@gmail.com,3 MULTIBRAND STORE
BIJAY CYCLE AGENCIES,"HOSPITAL CHOWK,  SATNA,  MADHYA PRADESH 485001",9425884593,#N/A,3 MULTIBRAND STORE
BIKE 4U,"PLOT NO.1, J.S.MALINI MAHAL,UNITED COLONY,REDHILLS ROAD, KOLATHUR  CHENNAI,  TAMILNADU 600099",,addressyouu@gmail.com,1 TRACK AND TRAIL
BIKE 4U,"450/1,TRICHY ROAD,  COIMBATORE,  TAMILNADU 641005",,addressyouu@gmail.com,1 TRACK AND TRAIL
BIKE LIFE,"SHOP NO.01, A-WING, GOKUL NAGAR,12, OFF WE HIGHWAY,KANDIVALI (EAST)  MUMBAI,  MAHARASHTRA 400101",,rathore.s999@gmail.com,1 TRACK AND TRAIL
BIKE NATION ,"ISLAMPUR GAON,SOHNA ROAD , NEAR SUBHASH CHOWK ,  GURGAON,  HARYANA  122048",,bikenation.gurgaOn@gmail.com ,1 TRACK AND TRAIL
BIKE TERRAIN,"NO: 182, MOUNT POONAMALEE ROAD,NEAR GOPALAKRISHNA BUS STOP,PORUR  CHENNAI,  TAMILNADU 600116",9087888716,biketerraine@gmail.com,1 TRACK AND TRAIL
BIKERS HUB,"272,GROUND FLOOR, K.K.NAGAR,SARVADHAM SOCIETY,KOLAR MAIN ROAD  BHOPAL,  MADHYA PRADESH 462042",,sunmeet2@gmail.com,1 TRACK AND TRAIL
BINA CYCLE EMPORIUM,"4  B.T. ROAD,DUNLOP(BELGHORIA),  KOLKATTA,  WEST BENGAL 700056",9143735115,sourodeepghosh826@gmail.com,3 MULTIBRAND STORE
BISMILLAH CYCLE MART,"2994, M K K ROAD,MARIYAPPANPALYA,  BANGALORE,  KARNATAKA 560021",9845084337,#N/A,3 MULTIBRAND STORE
BLUE SKY SALES AND SERVICES,"28/1, CHUNGI VICTORIA PARK,CHUNGI VICTORIA,  MEERUT,  UTTAR PRADESH 250001",#N/A,#N/A,3 MULTIBRAND STORE
BOATRIDER SPORTS PVT LTD,"16/1040, INDO JUNCTTION,KALLAI ROAD,  CALICUT,  KERALA 673002",#N/A,#N/A,3 MULTIBRAND STORE
BODY CRAFT,"NO. 11-13-194/C/C,R.K. PURAM, N.H.9,KOTHAPET, SAROOR NAGAR,  HYDERABAD,  ANDHRA PRADESH 35",#N/A,bodycraft.hyderabad@yahoo.com,3 MULTIBRAND STORE
BODYLINE,"OMKAR, FF 23, 24, 25,VALIA ROAD, NEAR VALIA CHOKDI, GIDC,  ANKLESHWAR,  GUJARAT 393002",9825245300,#N/A,3 MULTIBRAND STORE
BOKARO SPORTS,"BYE PASS ROAD, NEAR GARGA BRIDGE,CHAS,  BOKARO,  JHARKHAND 827013",#N/A,#N/A,3 MULTIBRAND STORE
BOMBAY CYCLE HOUSE,"UTTRAULA ROAD,  GONDA,  UTTAR PRADESH 271001",7897285396,#N/A,3 MULTIBRAND STORE
BOMBAY CYCLE HOUSE,"CLOCK TOWER ,G T ROAD,  LUDHIANA,  PUNJAB 141002",1612740115,bombaycycle house@yahoo.in,1 TRACK AND TRAIL
BOMBAY CYCLE MART,"MAIN MARKET,LALGANJ,DIST : RAEBARELI,  RAEBARELI,  UTTAR PRADESH 229206",9125550470,bombayautos@yahoo.com,3 MULTIBRAND STORE
BOMBAY CYCLE MART,"115 NAVIPETH,JALGAON,   MAHARASHTRA 425001",9422277020,shivsaiauto.adwani9@gmail.com,3 MULTIBRAND STORE
BOMBAY CYCLE MART,"KACHERY ROAD,  RAEBARELI,  UTTAR PRADESH 229206",9415960011,#N/A,3 MULTIBRAND STORE
BOMBAY CYCLE STORE,"D/13, BUS STAND,  JHABUA,  MADHYA PRADESH ",#N/A,#N/A,3 MULTIBRAND STORE
BOMBAY CYCLE STORES (SILVASA),"ZANDA CHOWK,U.T. of Dadra & Nagar Haveli,  SILVASA,  GUJARAT 396230",9825142883,sarvaiya.riyaz@gmail.com,3 MULTIBRAND STORE
BONEY CYCLE EMPORIUM,"PRESS CLUB ROAD,  ERNAKULAM,  KERALA 682011",9847211342,boneycycles@yahoo.in,3 MULTIBRAND STORE
BOTS CYCLING PVT LTD,"NO. 291, KANCHAN, 10TH MAIN,5TH BLOCK, JAYANAGAR,  BANGALORE,  KARNATAKA 560041",#N/A,#N/A,3 MULTIBRAND STORE
BPM CYCLE ZONE,"SHOP NO 15, 16, 17, 18 - GROUND FLOOR,GANESH COMPLEX, STATION ROAD,  AMRELI,  GUJARAT 365601",#N/A,#N/A,3 MULTIBRAND STORE
BRAND BIG CYCLES,"PALATHARA,CHERUSHOLA (PO),MALAPPURAM DIST  KOTTAKAL,  KERALA 676510",,Faizmp@gmail.com,1 TRACK AND TRAIL
BRIJWASI CYCLE STORE,"N N ROAD,NEAR RAILWAY  CROSSING,  BAHADURGARH,  HARYANA 124507",9896216069,sarvagya.sunil@gmail.com,3 MULTIBRAND STORE
BSA GO - VEPERY,"NEW NO 7, HUNTERS ROAD,VEPERY, CHOOLAI,  CHENNAI,  TAMILNADU 600112",044 26425353,lakshmiiji@rediffmail.com,1 TRACK AND TRAIL
BSA GO-VINAYAK CYCLES,"NO.15/430, NSK NAGAR,ANNA NAGAR MAIN ROAD,NEAR ANNA ARCH  CHENNAI,  TAMILNADU 600106",044 26262485,ajaygbhatt@yahoo.com,1 TRACK AND TRAIL
BSA HERCULES EXCLUSIVE STORE,"AMBATTUR,  CHENNAI,  TAMILNADU 600053",044-42879447,COCO003-ambatturche@tii.murugappa.com,1 TRACK AND TRAIL
BUDHBHATTI CYCLE STORES,"WANIYAWAD-GATE,NEAR BUS STAND,  BHUJ,  GUJARAT 370001",9879237748,vr.soni@yahoo.com,3 MULTIBRAND STORE
C K CYCLE MART,"2/553-A, RAMANATTUKARA POST,UNIVERSITY ROAD,  CALICUT,  KERALA 673633",#N/A,ckcyclemartck@gmail.com,3 MULTIBRAND STORE
CALCUTTA CYCLE STORE,"RETI CHOWK,  GORAKHPUR,  UTTAR PRADESH 273001",9935160160,snehanshuforever@gmail.com,3 MULTIBRAND STORE
CENTRAL CYCLE STORE,"M.C. ROAD,  CHENGANNUR,  KERALA 689121",9847146124,oommen_soman@rediffmail.com,3 MULTIBRAND STORE
CHABBRA CYCLE STORES,"BISTAN ROAD,KHARGONE,  KHARGONE,  MADHYA PRADESH 451001",9425089190,#N/A,3 MULTIBRAND STORE
CHABRIA CYCLE STORES,"SUBZI MANDI,  KOTA,  RAJASTHAN 324006",7742297440,#N/A,3 MULTIBRAND STORE
CHADHA CYCLE STORE(AMBALA),"SHOP NO.14,AMBA COMPLEX,STAFF ROAD,  AMBALA,  HARYANA 133001",9416085668,chadhacycles@yahoomail.com,3 MULTIBRAND STORE
CHADHA CYCLE STORES,"54, NORTH SHIVAJI NAGAR,NEAR APTA POLICE CHOWKI,  SANGLI,  MAHARASHTRA 416416",9422041374,bsago@rocketmail.com,3 MULTIBRAND STORE
CHADHA SALES,"54, NORTH SHIVAJI NAGAR,NEAR APTA POLICE CHOWKI,NADIA  SANGLI,  MAHARASHTRA 416416",2332331567,jaspreet.chadha1996@gmail.com,1 TRACK AND TRAIL
CHAKKAPAI CYCLE STORES,"VELIYANUR ROAD,NEAR KSRTC BUS STAND,  TRISSUR,  KERALA 680021",0487 3208045,k.chakkapai@yahoo.co.in,1 TRACK AND TRAIL
CHAKKAPAI CYCLE STORES (BRANCH),"VK KRISHNA MENON RD,KALLAI,(H.O AT KUNNAMKULAM),  CALICUT,  KERALA 673003",9847490414,k.chakkapai@yahoo.co.in,3 MULTIBRAND STORE
CHAND BHAI ALLA BUX,"OLD BUS STAND ROAD,DEWAS,  DEWAS,  MADHYA PRADESH 455001",#N/A,#N/A,3 MULTIBRAND STORE
CHAND SPORTS,"SHOP NO.2, DIAMOND PALACE,OPP. TATA DOCOMO,NEXT TO HILCO OPTICS,HILL ROAD, BANDRA (WEST)  MUMBAI,  MAHARASHTRA 400050",#N/A,#N/A,3 MULTIBRAND STORE
CHANDA CYCLE STORES,"75, ANANDA LOKE,BARASAT,  SODEPUR,  WEST BENGAL 700110",9051621933,Gourabchanda1990@gmail.com,3 MULTIBRAND STORE
CHANDIGARH AUTO CARE,"SCO-482,SECTOR-35-C,  CHANDIGARH,  CHANDIGARH 160002",9988477882,#N/A,3 MULTIBRAND STORE
CHANDRA CYCLE STORES,"G T ROAD,  ETAH,  UTTAR PRADESH 207001",9411237001,chandracycles@gmail.com,3 MULTIBRAND STORE
CHANDRODAYA CYCLE STORES,"MARWARI PATTY,HOSPITAL CHOWPATHI,  ALIPURDUAR,  WEST BENGAL 736121",,chandrodayacycle@gmail.com,1 TRACK AND TRAIL
CHAPSI CYCLE AGENCY,"CHAPSI ROAD&#44;GUJARATI GALI&#44; OPP BANK OF MAHARASHTRA&#44;NEAR HANUMAN CHOWK  LATUR,  MAHARASHTRA 413512",022 245984,rushabchapsi0@gmail.com,1 TRACK AND TRAIL
CHAUDHARY &amp; SONS,"SARAFA BAZAAR,LASHKAR,  GWALIOR,  MADHYA PRADESH 474001",8224865322,vijaCNS@yahoo.com,3 MULTIBRAND STORE
CHAURASIYA CYCLE STORE,"UDDAL CHOWK,  MAHOBA,  UTTAR PRADESH 210427",9450271268,bhupi_fvizera@rediffmail.com,3 MULTIBRAND STORE
CHEAP  CYCLE HOUSE,"MIYA BAZAR,RETI ROAD,  GORAKHPUR,  UTTAR PRADESH 273001",9415261911,#N/A,3 MULTIBRAND STORE
CHENNAI CYCLE CITY,"127, M T H ROAD,PADI,  CHENNAI,  TAMILNADU 600050",044-48560177,chennaicyclecity@gmail.com,1 TRACK AND TRAIL
CHHABIL DASS KESHO RAM,"SHOP NO. 67 & 68,SUBHASH MARKET,  RAJPURA,  PUNJAB 140401",9855132600,ankitpuri27@gmail.com,3 MULTIBRAND STORE
CHHABRIYA CYCLE CONCEPT,"IN FRONT OF OPERA HOSPITAL,PLOT NO 396, SHOP NO 6,MAHAVEER NAGAR II,  KOTA,  RAJASTHAN 324005",9413987045,hemantchhabriya@yahoo.co.in,3 MULTIBRAND STORE
CHIRAG CYCLE,"22/A, JOYOS HUBTOWN,ST BUS STOP ROAD,  MEHSANA,  GUJARAT 384002",#N/A,chirag16788@gmail.com,3 MULTIBRAND STORE
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMIT,"DARE HOUSE, 234, NSC BOSE ROAD,PARRYS CORNER,  CHENNAI,  TAMILNADU 600001",#N/A,#N/A,3 MULTIBRAND STORE
CHOWDARY CYCLE SHOP,"MAIN ROAD,  GUNTUR,  ANDHRA PRADESH 522003",9642509604,chowdarycycleshop@yahoo.com,3 MULTIBRAND STORE
CHOWDARY STORES,"MAIN ROAD,  ITCHAPURAM,  ANDHRA PRADESH 532312",9866248452,chowdarystores@gmail.com,3 MULTIBRAND STORE
CICLO CAFE PRIVATE LIMITED (BLR),"NO 948, 12 TH MAIN ROAD,HAL. 2ND STAGE, INDIRA NAGAR,  BANGALORE,  KARNATAKA 560008",#N/A,#N/A,3 MULTIBRAND STORE
CICLO CAFE PRIVATE LIMITED (CHENNAI),"47, GANDHI MANDAPAM ROAD,KOTTURPURAM,  CHENNAI,  TAMILNADU 600085",#N/A,#N/A,3 MULTIBRAND STORE
CICLO CAFE PRIVATE LIMITED (HYD),"8-2-293/82/A/801, ROAD NO 36,JUBILEE HILLS,  HYDERABAD,  ANDHRA PRADESH 500033",#N/A,#N/A,3 MULTIBRAND STORE
CITI BIKE,"43/11, SARDAR PATEL MARG,  ALLAHABAD,  UTTAR PRADESH 211001",,nrjkhera@gmail.com,1 TRACK AND TRAIL
CITY BIKE,"43/11, 1st FLOOR,SARDAR PATEL MARG,CIVIL LINES,  ALLHABAD,  UTTAR PRADESH 211001",9455529991,nrjkhera@gmail.com,2 BSA HERCULES EXCLUSIVE
CITY CYCLE HOUSE,"OFFICE TILLA,  DHARMANAGAR,  TRIPURA 799250",9436132157,biswajitshil92@yahoo.com,3 MULTIBRAND STORE
CITY CYCLES,"K S R T C BUS STAND ROAD,  PATHANAMTHITTA,  KERALA 689645",9447011611,citycyclespta@gmail.com,3 MULTIBRAND STORE
CITY CYCLES (HASSAN),"KHATA NO 578E,OPP SATHYA WATCHES, SUBASH SQUARE,  HASSAN,  KARNATAKA 573201",#N/A,#N/A,3 MULTIBRAND STORE
CITY EMPORIUM,"M.G. ROAD,  VIZIANAGARAM,  ANDHRA PRADESH 535001",8885356435,city.emporiumvzm@gmail.com,3 MULTIBRAND STORE
CMB INFORMATION PORTAL PVT LTD,"OLD NO 12A/4,  NEW NO 23/4, 1ST FLOOR,NORTH STREET, SRIRAM NAGAR,ALWARPET,  CHENNAI,  TAMILNADU 600018",#N/A,sethuraman@choosemybicycle.com,3 MULTIBRAND STORE
COCANADA CYCLE STORES (KAKINADA),"MAIN ROAD,KAKINADA,  KAKINADA,  ANDHRA PRADESH 533001",#N/A,#N/A,3 MULTIBRAND STORE
COLONEL&#39;S WHEEL ZONE,"HOLTA,NEAR DR.NIRDOSH CLINIC,  PALAMPUR,  HIMACHAL PRADESH 176061",,saaki8588@gmail.com,1 TRACK AND TRAIL
COLOURZ,"H.NO-141, MODEL TOWN,WARD NO 17,  YAMUNANAGAR,  HARYANA 135001",9215050080,colorz.ynr@gmail.com,3 MULTIBRAND STORE
COMMERCIAL EQUIPMENTS HOUSE,"R.K.B PATH,  DIBRUGARH,  ASSAM 786001",9435030900,commercialeh@gmail.com,3 MULTIBRAND STORE
CONCEPT MARKETING,"2-9-11, GEETHABHAVAN CIRCLE,  KARIMNAGAR,  ANDHRA PRADESH 505001",#N/A,#N/A,3 MULTIBRAND STORE
COSMOS SPORTS WORLD LLP,"SONA COMPLEX,RAM MOHAN ROAD,  CALICUT,  KERALA 673004",#N/A,#N/A,3 MULTIBRAND STORE
CRANK CYCLING JOINT,"ASHWATHY BUILDING,  NEAR NARMADA,SHOPPING COMPLED, KOWDIAR,  TRIVANDRUM,  KERALA 695003",#N/A,#N/A,3 MULTIBRAND STORE
CREATIVE MARKETING CO,"STATION ROAD,PATNA,  PATNA,  BIHAR 800001",#N/A,bimalandsonspatna@gmail.com,3 MULTIBRAND STORE
CRESCENT ENTERPRISES ,"(POST) POOKAYIL,PERUVAZHIYAMBALAM,TIRUR-TANUR ROAD, MALAPPURAM DIST  TIRUR,  KERALA 676302",,nazeer@crescenthospitality.in,1 TRACK AND TRAIL
CYCLE  WORLD,"SHOP NO. 145,PREM TRADE CENTRE,GUJARATI GIRLS COLLEGE,  INDORE,  MADHYA PRADESH 452001",9425312200,mahesh.karda@gmail.com,3 MULTIBRAND STORE
CYCLE &#39;N&#39; BIKE AGENCIES(BSA GO),"19-8-16/D, NEAR ANNAMAIAH CIRCLE,BHAIRAGIPATTEDA ARCH ROAD,  TIRUPATHI,  ANDHRA PRADESH 517501",0877 2240343,skrcycles1@gmail.com,1 TRACK AND TRAIL
CYCLE HOME,"KATIHAR MORE, OPP PURNEA EAST BLOCK,SBI BUILDING,POST OFFICE-KHUSHKIBAGH, DIST PURNEA   PURNEA ,  BIHAR 854305",,cyclehome6@gmail.com,1 TRACK AND TRAIL
CYCLE HOUSE,"4 G.D.A. MARKET,RAILWAY ROAD,SAHIABABD,  GHAZIABAD,  UTTAR PRADESH 201005",9811894040,anujsoni00@gmail.com,3 MULTIBRAND STORE
CYCLE HOUSE (KARIMGANJ),"STATION ROAD,  KARIMGANJ,  ASSAM 788710",9435075349,biswajitshil92@yahoo.com,3 MULTIBRAND STORE
CYCLE KINGDOM,"SHOP NO.2, ISHWAR PARADISE,ASHOKA MARG,NASIK  PUNE,  MAHARASHTRA 422011",,surajvs1611@gmail.com,1 TRACK AND TRAIL
CYCLE MAX,"NEAR TOWN MASJID,POTHENCODE P.O,  TRIVANDRAM,  KERALA ",7736188316,shamnadcycle@gmail.com,3 MULTIBRAND STORE
CYCLE N BIKE AGENCIES,"20/1149, CO-OPERATIVE COLONY,OPP NEHRU PARK,  KADAPA,  ANDHRA PRADESH 516001",08562 22275,skrcycles1@gmail.com,1 TRACK AND TRAIL
CYCLE PLAZA,"RABINDRA AVENUE,  MALDA,  WEST BENGAL 732101",9434052795,cycleplaza101@gmail.com,3 MULTIBRAND STORE
CYCLE SPORT,"SHOP NO 2&3, ARNAV POINT,NEAR VYARA TILES, SURAT-DHULIA HIGHWAY,SURAT-DHULIA HIGHWAY, DIST -TAPI, GUJRAT  VYARA,  GUJARAT 394650",,vishaljadhav7777@gmail.com,1 TRACK AND TRAIL
CYCLE WORLD,"NEAR CHOTU RAM CHOWK ,GOHANA ROAD,  SONIPAT,  HARYANA 131001",,anandgaur1978@gmail.com,1 TRACK AND TRAIL
CYCLE WORLD ,"HOUSE NO 138, MUNCIPAL NO - 38C132U97, ,MAIN SONIPAT ROAD,NEAR RAILWAY CROSSING   ROHTAK ,  HARYANA 124001",,cycleworld@gmail.com,1 TRACK AND TRAIL
CYCLE WORLD,"OPP- TVS GREEN SHOWROOM ,OLD GT ROAD ,  KARNAL ,  HARYANA 132001",,sanjivbhardwaj77@gmail.com,1 TRACK AND TRAIL
CYCLE WORLD,"GOSALA ROAD,BARGARH,  BARGARH,  ODHISA 768028",9437208252,cycleworld.bargarh@gmail.com,3 MULTIBRAND STORE
CYCLE WORLD,"NO. 21, 12TH CROSS,KOTHANUR MAIN ROAD,PUTTENEHALLI,J.P NAGAR 7TH PHASE  BANGALORE,  KARNATAKA 560076",9886743406,info@cycleworldonline.in,3 MULTIBRAND STORE
CYCLE WORLD &amp; FITNESS,"SECOND FLOOR, HOUSE NO.6, G BLOCK,GOPAL NAGAR, NANAK PAIO, OPP KRISHNA VATIKA,SOUTH WEST DELHI, NAZAFGARH  DELHI,  NEW DELHI 110043",,charancns1242@gmail.com,1 TRACK AND TRAIL
CYCLE ZONE,"PLOT 2254, NH-5,CRPF SQUARE,NAYAPALLI  BHUBANESWAR,  ORISSA 751012",0674 6500885,infraalok@gmail.com,1 TRACK AND TRAIL
CYCLE ZONE,"AMBITION BUILDING, NEAR INDIRA CIRCLE,150 FEET RING RD, BELLOW INDIAN BANK,GOLDEN PARK  RAJKOT,  GUJARAT 360007",0281-2468747,czrajkot@gmail.com,1 TRACK AND TRAIL
CYCLE ZONE (KARWAR),"VADAN COMPLEX, SHOP 1734/G/1,OPP TO RAGAVENDRA MATH,HABBUWADA,  KARWAR,  KARNATAKA 581306",#N/A,#N/A,3 MULTIBRAND STORE
CYCLES PLANET,"H NO.20, CHANDRIKA HOUSING SOCIETY,BAWADIYA KALA, ROHIT NAGAR,  BHOPAL,  MADHYA PRADESH 462001",#N/A,#N/A,3 MULTIBRAND STORE
CYCLING BOUTIQUE INC,"C/O CYCLING BOUTIQUE EXPERIENCE CENTER,NO 68/3, 1ST FLOOR, ""BRINDAVAN"", 4TH B CROSS,MICHAEL PALYA,80FT ROAD, INDIRANAGAR 1ST STAGE  BANGALORE 560038,  KARNATAKA 560038",#N/A,business@cyclingboutique.com,3 MULTIBRAND STORE
CYCLING SOLUTIONS," SHOP NO.7-8, PUTTAPPA COMPLEX, ,WHITEFIELD MAIN ROAD,MAHADEVAPURA  BANGALORE,  KARNATAKA 560048",,cyclingsolutions@outlook.com,1 TRACK AND TRAIL
CYCLING SOLUTIONS,"NO.796, 2ND PHASE,SANDEEP UNNIKRISHNAN ROAD,NEW TOWN YELAHANKA  BANGALORE,  KARNATAKA 560064",,cyclingsolutions@outlook.com,1 TRACK AND TRAIL
CYCLING SOLUTIONS,"H. NO. 38-12-1/1, SHIVA SAI NAGAR,SAINIKPURI,SECUNDERABAD  HYDERABAD,  TELANGANA  500094",,taj.cyclingsolutions@gmail.com,1 TRACK AND TRAIL
CYCLO FIT,"9  36/K, II ND FLOOR, JAYALAXMI COMPLEX,DILSUKHNAGAR,  HYDERABAD,  ANDHRA PRADESH 500060",9912713590,vipingulati6@gmail.com,3 MULTIBRAND STORE
CYCLO-FIT CONCEPT,"SHOP NO 842, M. G. ROAD,GHITORNI,  NEW DELHI,  NEW DELHI 110030",9810040925,cyclofitindia@gmail.com,3 MULTIBRAND STORE
CYCLOCROSS,"PLOT NO:180/2, PATNY HOUSE,OPP ASHOK BHOOPAL CHAMBERS,S P ROAD  SECUNDERABAD,  ANDHRA PRADESH 500003",040-66333513,loki261185@gmail.com,1 TRACK AND TRAIL
CYCLOCROSS,"6-3-1092/A/G1,GF,BLOCK A,SHANTI SHIKARA COMPLEX,RAJ BHAVAN ROAD,SOMAJIGUDA  HYDERABAD,  TELANGANA 500082",040-66107477,loki261185@gmail.com,1 TRACK AND TRAIL
CYCLOGENS,"NO.8, VINAYAGA AVENUE,OKKIYAM THORAIPAKKAM,NEXT TO HOTEL BUHARI  CHENNAI,  TAMILNADU 600097",,cyclogens.thoraipakkam@gmail.com,1 TRACK AND TRAIL
CYCLOGENS,"NO:60,SIVASWAMY SALAI,MYLAPORE,  CHENNAI,  TAMILNADU 600004",044-42074167,cyclogens.helpdesk@gmail.com,1 TRACK AND TRAIL
CYCLOTSAVA,"CYCLE WORLD  , B K NAYAK ARCADE,NEAR KAMALA NURSING HOME,SOWLANGA  ROAD,  SHIMOGA,  KARNATAKA 577201",9448139298,bsagoshimoga@gmail.com,3 MULTIBRAND STORE
D N R CYCLE STORES,"16-4-2 CHURCH STREET,  CHITTOOR,  ANDHRA PRADESH 517001",8572228847,dnrselva@gmail.com,3 MULTIBRAND STORE
D.N.CYCLE SHOP,"GRAND ROAD,NEAR TOWN THANA,  PURI,  ODHISA 752001",9861017663,dncycleshop@gmail.com,3 MULTIBRAND STORE
D.P. SHIRODKAR &amp; C0,"26,MADHUBAN, ST INEZ,  PANJI,  GOA 403001",,amolshirodkar57@gmail.com,1 TRACK AND TRAIL
D.S.MANI CYCLE STORE,"25 VALLAL PACHAIYAPPAN STREET,KANCHEEPURAM,  KANCHEEPURAM,  TAMILNADU 631501",9445519097,#N/A,3 MULTIBRAND STORE
D.SUNDARAM AGENCIES,"7-LOURDHUS BUILDING,FORT STATION ROAD,  TRICHY,  TAMILNADU 620002",9443815589,Balaji.dhoss@gmail.com,3 MULTIBRAND STORE
DADAJI WHEELS,"OPP. PATNA COLLEGE,ASHOK RAJPATH,  PATNA,  BIHAR 800004",9334842750,dadajiwheels@gmail.com,3 MULTIBRAND STORE
DADI BICYCLES (FITNESS),"III-M-22, AMBEDKAR ROAD,NEHRU NAGAR,  GHAZIABAD,  UTTAR PRADESH ",9312222660,vidhesh.gupta@gmail.com,3 MULTIBRAND STORE
DANDY BIKES,"SRIVARI TOWERS, GROUND FLOOR,TOWN SY.NO.20/2, OPP SRINIVASA THEATRE,ROYAKOTTA ROAD  HOSUR,  TAMILNADU 635109",,saravanasamym@gmail.com,1 TRACK AND TRAIL
DARBHANGA CYCLE TRADERS,"TOWER CHOWK,DIST DARBHANGA,  DARBHANGA,  BIHAR 846004",#N/A,darbhanga_telcome@rediffmail.com,3 MULTIBRAND STORE
